	traj_0
cell_0	0.06142828064808471
cell_1	0.0713286380314397
cell_3	0.06277737761249508
cell_4	0.9839507750369527
cell_5	0.03759729333810224
cell_8	0.06094239507562001
cell_9	0.14747811329578614
cell_10	0.5148839772198178
cell_11	0.006917325285794051
cell_12	0.2948904023107237
cell_13	0.03946237084556298
cell_15	0.4100885575639085
cell_16	0.025954797506209812
cell_17	0.010071750833206654
cell_18	0.769137941844404
cell_20	0.2638740977230342
cell_22	0.6010405689138877
cell_23	0.0015602456906661428
cell_24	0.03204070738925023
cell_25	0.30669413804461215
cell_27	0.05137371606173776
cell_28	0.047689771098459274
cell_29	0.011317558370460267
cell_30	0.06059714785699202
cell_32	0.010069307543920759
cell_33	0.039291549177092315
cell_34	0.9838130311339615
cell_35	0.024175588835705066
cell_37	0.05956485518264238
cell_38	0.05983985456506685
cell_39	0.057406586431669245
cell_41	0.6952823861497747
cell_44	0.0627090959740262
cell_45	0.048953143923325435
cell_46	0.027349695993105706
cell_47	0.04118358368143253
cell_48	0.025160821424218605
cell_49	0.03450538925640342
cell_50	0.056983624842695355
cell_51	0.48552001337171796
cell_52	0.11593303289042427
cell_53	0.060555207127059446
cell_54	0.033705407815862586
cell_55	0.6638006404277731
cell_56	0.06223507266148932
cell_57	0.07767138542392935
cell_58	0.062204627132568364
cell_59	0.019564618661579224
cell_60	0.8816046247598459
cell_61	0.03209072089992002
cell_62	0.8751142224304881
cell_63	0.060806866859797325
cell_64	0.4920911605520683
cell_65	0.062131971615755
cell_66	0.059025718548820716
cell_68	0.0605259095510599
cell_71	0.057944976492645545
cell_72	0.5452364669331116
cell_73	0.43303245945510394
cell_74	0.1511073129492052
cell_76	0.0410012117810375
cell_77	0.8402355296461235
cell_78	0.7639395386273217
cell_80	0.8704804586222956
cell_81	0.9973755473977629
cell_82	0.06269181481069867
cell_83	0.05946569184175868
cell_86	0.01716850887544696
cell_87	0.04383063909640831
cell_88	0.036211975320237615
cell_91	0.03793297071366466
cell_92	0.16562193772875997
cell_97	0.03490512918894962
cell_98	0.5198436915353254
cell_99	0.06302967341911885
cell_100	0.557603436854087
cell_101	0.05502345052396931
cell_102	0.6810695356230112
cell_103	0.025609262123895086
cell_104	0.366093694151167
cell_105	0.06029188444648821
cell_106	0.05713355334132093
cell_108	0.579673225405876
cell_110	0.06040657840502394
cell_111	0.04511762515760074
cell_112	0.0529534552473985
cell_113	0.3089460817598553
cell_114	0.0573630429079431
cell_116	0.048734347077619235
cell_117	0.2983945184958444
cell_118	0.03510862846925357
cell_119	0.1769221062642088
cell_120	0.05270677344424527
cell_121	0.049938966943806604
cell_122	0.1798652069024241
cell_123	0.05333520537158278
cell_124	0.8945055599534205
cell_125	0.3030114531833695
cell_127	0.027382733518726343
cell_128	0.0569614029226087
cell_129	0.025999276967972714
cell_130	0.7984642201583125
cell_131	0.04217961619819641
cell_132	0.5016553399249929
cell_133	0.00966754502870467
cell_134	0.059748234415481404
cell_135	0.13182067168074077
cell_137	0.023217165693613515
cell_138	0.7472136769294452
cell_140	0.07637564363286485
cell_142	0.054176443638720984
cell_143	0.05890113567373895
cell_144	0.060611167319805447
cell_145	0.05263668873646656
cell_148	0.18363527049667214
cell_149	0.0089743103176622
cell_150	0.03903797858607348
cell_151	0.05430888382862544
cell_154	0.17490706698188493
cell_155	0.9873252643151704
cell_156	0.07581071272929167
cell_157	0.05109399577498754
cell_159	0.06216044368559831
cell_160	0.4558450908697164
cell_163	0.08200636434907053
cell_165	0.0754588492025498
cell_166	0.5815915185171786
cell_167	0.10243266197476555
cell_168	0.05977965403334174
cell_169	0.026504677687390128
cell_170	0.047960284718642256
cell_171	0.022158869466250557
cell_172	0.06054410492989024
cell_173	0.062225367196968355
cell_174	0.04548969029650439
cell_175	0.8749229111193244
cell_176	0.6624071546603473
cell_177	0.25712062525483537
cell_178	0.4979800578112798
cell_179	0.17866680729031392
cell_181	0.03453248753052815
cell_182	0.009333735099214417
cell_183	0.023630548279779586
cell_185	0.03833789969509607
cell_186	0.06146083985815908
cell_187	0.3956016537389236
cell_188	0.04019141410283458
cell_189	0.42259813075380265
cell_190	0.8738521643473323
cell_191	0.05103024493369913
cell_195	0.09412113012651963
cell_196	0.37758200206948456
cell_197	0.12655158632256877
cell_198	0.010948595930538194
cell_199	0.41889770988437824
cell_200	0.9725851263302038
cell_202	0.9809696670287992
cell_204	0.7770575721426952
cell_205	0.09924892415581826
cell_206	0.07704575869693853
cell_207	0.03302137974499182
cell_208	0.062222245863662755
cell_209	0.0288299779615844
cell_210	0.025152682241982402
cell_211	0.015312811481324068
cell_212	0.10027145450781315
cell_213	0.19162514038400874
cell_214	0.03879166214060036
cell_218	0.5121243303421817
cell_219	0.05943820050436102
cell_220	0.05713779116439042
cell_221	0.05976623700362022
cell_222	0.01719992247213285
cell_223	0.03368585469159058
cell_225	0.046059230394718154
cell_226	0.047784283318232854
cell_227	0.04767059889738677
cell_228	0.23643175255889473
cell_229	0.7641859345694132
cell_230	0.08465377456568618
cell_231	0.5532726486590555
cell_232	0.9211335443914243
cell_233	0.062479936953706794
cell_234	0.9860492957694724
cell_235	0.23618983640017205
cell_236	0.06311517110714021
cell_237	0.4880769828938205
cell_238	0.35484161240997786
cell_239	0.02948690543771711
cell_240	0.06224866829576933
cell_241	0.05885820408041106
cell_242	0.3269878283559447
cell_244	0.059608997514878324
cell_245	0.04371471134365073
cell_246	0.09796985872337398
cell_247	0.03858304996769977
cell_249	0.06262345168063926
cell_250	0.020307946465260098
cell_251	0.8837204355056243
cell_252	0.06566205055082984
cell_253	0.06038345221623092
cell_254	0.06727276927408224
cell_255	0.04816365639190911
cell_256	0.060921263929090974
cell_257	0.07877952296274417
cell_258	0.06250874513187228
cell_259	0.07606912532616292
cell_260	0.30079642866687023
cell_262	0.6325085453029029
cell_263	0.023051904920990875
cell_265	0.05920433328909205
cell_266	0.8836143312717176
cell_267	0.8916501950224088
cell_268	0.026949690478361522
cell_270	0.013040231241900718
cell_271	0.8877099151932429
cell_272	0.05985066606432081
cell_273	0.06260030520828506
cell_275	0.06077376098309399
cell_278	0.05801567438347679
cell_279	0.04965667293361884
cell_280	0.5238622054959251
cell_281	0.013590024282857882
cell_282	0.03261816109490912
cell_283	0.034158801340091124
cell_284	0.0734656126454236
cell_285	0.05895343954734336
cell_286	0.11636497722015289
cell_289	0.010704670557420415
cell_290	0.024238746045955457
cell_291	0.034491556774994214
cell_292	0.8949780001071949
cell_293	0.027867339772745456
cell_294	0.01910658351777262
cell_295	0.05727926433657331
cell_296	0.32586571508416556
cell_297	0.0413223555870749
cell_299	0.8204271046171604
cell_300	0.02530423583076999
cell_301	0.06328372815637118
cell_303	0.024863277441001738
cell_305	0.05418019330620633
cell_306	0.02592970184392747
cell_307	0.059534027143831304
cell_308	0.671443076620078
cell_309	0.057346493516096386
cell_310	0.03311711563335615
cell_311	0.059776313039088036
cell_312	0.05091211505024961
cell_313	0.051085619921102936
cell_314	0.05809548588337697
cell_316	0.057785665593577305
cell_317	0.6704122684601965
cell_318	0.0787655997263181
cell_319	0.046514666377745824
cell_320	0.04408548203166581
cell_322	0.3827535798226116
cell_324	0.3865077222578567
cell_325	0.06086841546533665
cell_326	0.049414359245703046
cell_327	0.8686736212657484
cell_329	0.06121626881650184
cell_330	0.5780335631033067
cell_332	0.02862625965332384
cell_333	0.292289104550189
cell_334	0.061942266295716204
cell_335	0.032063868205132226
cell_337	0.5277200688333487
cell_339	0.9887457286404967
cell_341	0.05896693915296024
cell_342	0.05987192531609043
cell_344	0.04737744632048436
cell_345	0.05160833323891364
cell_346	0.04977744873390402
cell_347	0.4771586274994695
cell_348	0.010139530280083355
cell_352	0.02668556993848144
cell_353	0.022636890028501506
cell_354	0.049325122429607286
cell_355	0.0868952483128016
cell_356	0.03824316061939954
cell_358	0.06192726783336767
cell_359	0.17912019566611528
cell_360	0.5841899966684307
cell_361	0.8959543377624146
cell_362	0.32982208684145176
cell_363	0.05426319203178123
cell_364	0.05523016768594205
cell_365	0.03380482266289021
cell_367	0.6783465960337322
cell_369	0.059428238548044694
cell_371	0.5793008027306386
cell_372	0.9794011807272193
cell_373	0.7047067613513409
cell_376	0.018961200643533148
cell_377	0.0395034221040069
cell_378	0.019183015797070605
cell_379	0.6856972337636743
cell_380	0.056995429086283904
cell_383	0.32902201782398166
cell_384	0.4491586625116844
cell_385	0.06241185431653407
cell_386	0.43162136571574916
cell_387	0.5904898126915366
cell_389	0.8798008210171735
cell_390	0.03507678162125217
cell_391	0.7254974490473185
cell_392	0.03441306164521352
cell_393	0.013887912574721622
cell_394	0.054611163631753674
cell_395	0.006308998616448447
cell_396	0.03655376463960748
cell_397	0.05734242780793075
cell_398	0.06220066917617459
cell_399	0.03941779489037146
cell_402	0.4979800578112798
cell_403	0.5976490414950796
cell_404	0.06299176724643729
cell_406	0.04360139265627426
cell_407	0.049017561858171674
cell_408	0.05727126708300413
cell_411	0.1616702581419272
cell_412	0.009670885388483895
cell_413	0.08095369332521879
cell_414	0.4979800578112798
cell_415	0.05797286120422666
cell_416	0.011505704125827174
cell_419	0.006380835002399316
cell_420	0.03297067203522769
cell_421	0.06153750326217373
cell_422	0.0217806170546754
cell_423	0.1692990048043079
cell_424	0.0348922756601377
cell_425	0.0370237624634869
cell_426	0.020651060465803072
cell_427	0.2942150396716229
cell_429	0.06039545411989706
cell_430	0.2857508154180082
cell_431	0.039596089946737405
cell_432	0.0018039426496700734
cell_433	0.07593395087561608
cell_434	0.06282622597295921
cell_435	0.03446219733119252
cell_436	0.03202534963349768
cell_438	0.06299954022759534
cell_439	0.03657532533220915
cell_441	0.03311703761001612
cell_442	0.25744989927300604
cell_444	0.05145120056541167
cell_447	0.013882694952452127
cell_448	0.9799603908500093
cell_449	0.4979800578112798
cell_450	0.0775643111370998
cell_452	0.5259170532436296
cell_453	0.05538871803848177
cell_454	0.8807844288588735
cell_455	0.45002507316067364
cell_456	0.03497728266949259
cell_457	0.8751142224304881
cell_459	0.05976138723881536
cell_460	0.04266623514038024
cell_461	0.030007341011249713
cell_462	0.01639720239515129
cell_463	0.06315923887116792
cell_464	0.37220405785941224
cell_465	0.05995450201923667
