	0	1	2
cell1	0.03315434232354164	NA	NA
cell2	0.8109371662139893	NA	NA
cell3	0.7431251406669617	NA	NA
cell4	0.1729411631822586	NA	NA
cell5	0.005031819920986891	NA	NA
cell6	0.3756829500198364	NA	NA
cell7	0.0	NA	NA
cell8	0.35745570063591003	NA	NA
cell9	0.3980962932109833	NA	NA
cell10	0.17095118761062622	NA	NA
cell11	0.26331883668899536	NA	NA
cell12	0.01331121101975441	NA	NA
cell13	0.42550256848335266	NA	NA
cell14	NA	0.5879324674606323	NA
cell15	0.1688077598810196	NA	NA
cell16	0.05025992542505264	NA	NA
cell17	0.019430512562394142	NA	NA
cell18	0.7930732369422913	NA	NA
cell19	0.6154009103775024	NA	NA
cell20	0.03607860207557678	NA	NA
cell21	0.5233731269836426	NA	NA
cell22	0.02463901974260807	NA	NA
cell23	0.6261957883834839	NA	NA
cell24	0.4994872510433197	NA	NA
cell25	0.7953644394874573	NA	NA
cell26	0.0019475545268505812	NA	NA
cell27	0.844050407409668	NA	NA
cell28	0.17520089447498322	NA	NA
cell29	0.5039388537406921	NA	NA
cell30	NA	0.7489519119262695	NA
cell31	0.7149149775505066	NA	NA
cell32	0.2163642942905426	NA	NA
cell33	0.5923622250556946	NA	NA
cell34	0.6328300833702087	NA	NA
cell35	0.6387292742729187	NA	NA
cell36	0.2783750891685486	NA	NA
cell37	0.8135179877281189	NA	NA
cell38	NA	0.8041129112243652	NA
cell39	0.21470907330513	NA	NA
cell40	0.46507132053375244	NA	NA
cell41	0.5057772994041443	NA	NA
cell42	0.35537829995155334	NA	NA
cell43	0.3120114207267761	NA	NA
cell44	0.4430878460407257	NA	NA
cell45	0.9488481879234314	NA	NA
cell46	NA	0.7951756119728088	NA
cell47	0.852968692779541	NA	NA
cell48	NA	0.7785444259643555	NA
cell49	0.6645259261131287	NA	NA
cell50	0.42326679825782776	NA	NA
cell51	0.3750894069671631	NA	NA
cell52	0.5021777153015137	NA	NA
cell53	0.08363506942987442	NA	NA
cell54	0.3764067590236664	NA	NA
cell55	0.9250481128692627	NA	NA
cell56	0.45779505372047424	NA	NA
cell57	0.43772581219673157	NA	NA
cell58	0.26613593101501465	NA	NA
cell59	0.17355962097644806	NA	NA
cell60	NA	0.81638503074646	NA
cell61	0.5025612711906433	NA	NA
cell62	0.00185882777441293	NA	NA
cell63	0.47324642539024353	NA	NA
cell64	NA	NA	0.9894610643386841
cell65	0.3096936047077179	NA	NA
cell66	0.6943314671516418	NA	NA
cell67	0.17002613842487335	NA	NA
cell68	NA	0.58955979347229	NA
cell69	0.6766715049743652	NA	NA
cell70	0.5867213606834412	NA	NA
cell71	0.2084989696741104	NA	NA
cell72	0.2727559804916382	NA	NA
cell73	0.4030548334121704	NA	NA
cell74	0.15827006101608276	NA	NA
cell75	0.5152149200439453	NA	NA
cell76	0.786534309387207	NA	NA
cell77	0.17036932706832886	NA	NA
cell78	0.8146769404411316	NA	NA
cell79	0.6327695846557617	NA	NA
cell80	0.6268142461776733	NA	NA
cell81	0.6213026642799377	NA	NA
cell82	0.5874672532081604	NA	NA
cell83	0.03304169327020645	NA	NA
cell84	0.027479048818349838	NA	NA
cell85	0.7383328080177307	NA	NA
cell86	0.008324890397489071	NA	NA
cell87	0.7535255551338196	NA	NA
cell88	0.12162278592586517	NA	NA
cell89	0.6320912837982178	NA	NA
cell90	0.391139954328537	NA	NA
cell91	0.26375916600227356	NA	NA
cell92	0.4655492305755615	NA	NA
cell93	0.6793981790542603	NA	NA
cell94	0.1796056181192398	NA	NA
cell95	0.5450209975242615	NA	NA
cell96	NA	0.5381280779838562	NA
cell97	0.13133859634399414	NA	NA
cell98	0.810092031955719	NA	NA
cell99	0.45128339529037476	NA	NA
cell100	0.4247017502784729	NA	NA
cell101	0.7552362084388733	NA	NA
cell102	0.8146505951881409	NA	NA
cell103	0.12232930958271027	NA	NA
cell104	NA	0.7369317412376404	NA
cell105	0.6366326808929443	NA	NA
cell106	0.4970080852508545	NA	NA
cell107	0.16564622521400452	NA	NA
cell108	NA	0.6516249775886536	NA
cell109	0.6250728964805603	NA	NA
cell110	0.8116084933280945	NA	NA
cell111	0.018283210694789886	NA	NA
cell112	NA	NA	0.9794174432754517
cell113	0.1760517805814743	NA	NA
cell114	NA	NA	0.958317756652832
cell115	0.9703786969184875	NA	NA
cell116	0.6968955397605896	NA	NA
cell117	0.014550828374922276	NA	NA
cell118	0.3761368691921234	NA	NA
cell119	0.031571369618177414	NA	NA
cell120	0.49203959107398987	NA	NA
cell121	0.17751510441303253	NA	NA
cell122	0.9193021655082703	NA	NA
cell123	NA	0.5326527953147888	NA
cell124	NA	0.6376165151596069	NA
cell125	0.4418548047542572	NA	NA
cell126	0.42314061522483826	NA	NA
cell127	0.127311572432518	NA	NA
cell128	0.6443184614181519	NA	NA
cell129	0.3622722923755646	NA	NA
cell130	0.8477861285209656	NA	NA
cell131	0.93038010597229	NA	NA
cell132	0.16690118610858917	NA	NA
cell133	NA	0.7758752703666687	NA
cell134	0.15430396795272827	NA	NA
cell135	0.5004466772079468	NA	NA
cell136	0.8038817644119263	NA	NA
cell137	0.4518674910068512	NA	NA
cell138	0.11741790175437927	NA	NA
cell139	0.16782958805561066	NA	NA
cell140	0.8232280015945435	NA	NA
cell141	0.6874347925186157	NA	NA
cell142	0.03630562126636505	NA	NA
cell143	0.45444661378860474	NA	NA
cell144	NA	0.6554985046386719	NA
cell145	0.887701153755188	NA	NA
cell146	0.8525564074516296	NA	NA
cell147	0.5069747567176819	NA	NA
cell148	0.5341993570327759	NA	NA
cell149	0.02693185955286026	NA	NA
cell150	0.4625580608844757	NA	NA
cell151	0.020230665802955627	NA	NA
cell152	0.4527301788330078	NA	NA
cell153	0.03701576218008995	NA	NA
cell154	0.039195261895656586	NA	NA
cell155	0.46604570746421814	NA	NA
cell156	0.45371297001838684	NA	NA
cell157	0.03833506256341934	NA	NA
cell158	0.7469601035118103	NA	NA
cell159	0.11207031458616257	NA	NA
cell160	0.16992977261543274	NA	NA
cell161	0.012934917584061623	NA	NA
cell162	0.021886451169848442	NA	NA
cell163	NA	0.7437250018119812	NA
cell164	0.7362033724784851	NA	NA
cell165	0.5617259740829468	NA	NA
cell166	0.4126921594142914	NA	NA
cell167	0.5127755403518677	NA	NA
cell168	0.44046923518180847	NA	NA
cell169	0.17254792153835297	NA	NA
cell170	0.22423557937145233	NA	NA
cell171	0.01633473113179207	NA	NA
cell172	NA	0.5285377502441406	NA
cell173	0.5474147796630859	NA	NA
cell174	NA	0.78200364112854	NA
cell175	0.5026892423629761	NA	NA
cell176	0.9757394790649414	NA	NA
cell177	0.1737213283777237	NA	NA
cell178	0.7558602690696716	NA	NA
cell179	0.4429790675640106	NA	NA
cell180	0.8022055625915527	NA	NA
cell181	0.5538352131843567	NA	NA
cell182	0.2812482416629791	NA	NA
cell183	0.1716514527797699	NA	NA
cell184	NA	0.783875584602356	NA
cell185	0.19108475744724274	NA	NA
