	traj_0
cell1	0.11797002905477902
cell2	0.12888885099345151
cell3	0.1057770871141217
cell4	0.25289779243151556
cell5	0.11681830288073192
cell6	0.004029336242567336
cell7	0.1177426541546502
cell8	0.07942223140335203
cell9	0.21093621965221843
cell10	0.0021884649303447147
cell11	0.5562402003100512
cell12	0.12893396359520748
cell13	0.0014959423871220546
cell14	0.11221563888755137
cell15	0.12621562282166587
cell16	0.0035856160725870187
cell17	0.13161120475066268
cell18	0.0024234089680533746
cell19	0.13102046080330762
cell20	0.1273005092320008
cell21	0.1336866978243697
cell22	0.1535009686788317
cell23	0.11953071771371812
cell24	0.13167950469628834
cell25	0.037831814179528286
cell26	0.13195295147113514
cell27	0.12844494814894084
cell28	0.1303695403605067
cell29	0.12449569445471795
cell30	0.11283940245119778
cell31	0.1350771009885573
cell32	0.1306381509133747
cell33	0.12612332233494702
cell34	0.9820775095889525
cell35	0.12860715209075863
cell36	0.12913027339518535
cell37	0.2703404128220753
cell38	0.10302160321513584
cell39	0.010808284316918677
cell40	0.8493966323645465
cell41	0.09289171845545165
cell42	0.12785058977080363
cell43	0.11346432189982866
cell44	0.07472107572752608
cell45	0.12906102163719935
cell46	0.9551096824429259
cell47	0.030811545296450603
cell48	0.18733850098544877
cell49	0.003856787778314336
cell50	0.22968274891731608
cell51	0.03388686293412425
cell52	0.6124851610378582
cell53	0.13092402410161347
cell54	0.1308192966936104
cell55	0.11168734368042303
cell56	0.0036094963104369277
cell57	0.14884540893882328
cell58	0.06755120360079897
cell59	0.007792460014779236
cell60	0.13236670355900326
cell61	0.17127350148713374
cell62	0.0030483717933483625
cell63	0.12818303433973535
cell64	0.12960706410914788
cell65	0.1284178124263422
cell66	0.957212470091676
cell67	0.00334713258602263
cell68	0.10713833308646929
cell69	0.09849746243832279
cell70	0.11731712411658764
cell71	0.12809237804573725
cell72	0.8805030646020359
cell73	0.1636862801530231
cell74	0.9727874218828929
cell75	0.08836611450866952
cell76	0.1345710650059731
cell77	0.1339210498663438
cell78	0.13437588837163442
cell79	0.1349810677068419
cell80	0.94563275227801
cell81	0.22502110703646852
cell82	0.9673313810555146
cell83	0.11099369096185141
cell84	0.12989788546152947
cell85	0.11542605934931192
cell86	0.10533390995923451
cell87	0.1285306650833268
cell88	0.47529735653395855
cell89	0.9865594564451524
cell90	0.1355351913057177
cell91	0.13187580762778117
cell92	0.6926687352814027
cell93	0.09180683695655138
cell94	0.9496977059862906
cell95	0.03420494445461097
cell96	0.08466558505802484
cell97	0.004066779274169909
cell98	0.1261590690286106
cell99	0.4738525073583211
cell100	0.12242207445231283
cell101	0.11333048631465746
cell102	0.010870303434590051
cell103	0.13010594411042573
cell104	0.1272477715696229
cell105	0.203849073390955
cell106	0.1766390136193242
cell107	0.03298685161618152
cell108	0.12695895847833383
