	0	1	2	3
cell1	0.7250313758850098	NA	NA	NA
cell2	NA	NA	0.3161486089229584	NA
cell3	NA	0.5324126482009888	NA	NA
cell4	NA	NA	0.0	NA
cell5	0.75071781873703	NA	NA	NA
cell6	0.9746473431587219	NA	NA	NA
cell7	0.7246992588043213	NA	NA	NA
cell8	NA	0.5364801287651062	NA	NA
cell9	NA	0.5241516828536987	NA	NA
cell10	0.8948072195053101	NA	NA	NA
cell11	NA	NA	0.276027113199234	NA
cell12	NA	NA	0.3142744302749634	NA
cell13	0.9338333606719971	NA	NA	NA
cell14	0.7536565065383911	NA	NA	NA
cell15	0.7547264099121094	NA	NA	NA
cell16	0.9601175785064697	NA	NA	NA
cell17	0.8798197507858276	NA	NA	NA
cell18	0.961306631565094	NA	NA	NA
cell19	NA	NA	0.33914822340011597	NA
cell20	NA	NA	0.3032120168209076	NA
cell21	0.8137104511260986	NA	NA	NA
cell22	NA	NA	0.18116509914398193	NA
cell23	0.7539258599281311	NA	NA	NA
cell24	0.8622058629989624	NA	NA	NA
cell25	0.9089141488075256	NA	NA	NA
cell26	0.8817015886306763	NA	NA	NA
cell27	0.8058649897575378	NA	NA	NA
cell28	0.8702558875083923	NA	NA	NA
cell29	0.7810192108154297	NA	NA	NA
cell30	0.74550461769104	NA	NA	NA
cell31	NA	NA	NA	0.9207444190979004
cell32	NA	0.4830094873905182	NA	NA
cell33	NA	NA	0.2774340510368347	NA
cell34	NA	NA	0.3466227948665619	NA
cell35	NA	NA	0.309678316116333	NA
cell36	NA	NA	0.32924991846084595	NA
cell37	NA	NA	0.043190497905015945	NA
cell38	NA	NA	0.3353300392627716	NA
cell39	0.9638242125511169	NA	NA	NA
cell40	NA	NA	0.3396380841732025	NA
cell41	NA	0.5552300214767456	NA	NA
cell42	NA	0.5550644397735596	NA	NA
cell43	0.7296035289764404	NA	NA	NA
cell44	0.8008762001991272	NA	NA	NA
cell45	NA	NA	0.26692765951156616	NA
cell46	NA	NA	0.3031838834285736	NA
cell47	0.8975170254707336	NA	NA	NA
cell48	NA	0.4941040873527527	NA	NA
cell49	0.9487793445587158	NA	NA	NA
cell50	NA	0.5213392972946167	NA	NA
cell51	0.8633372783660889	NA	NA	NA
cell52	NA	NA	0.2654536962509155	NA
cell53	0.864042341709137	NA	NA	NA
cell54	0.8465860486030579	NA	NA	NA
cell55	0.7413739562034607	NA	NA	NA
cell56	0.9497210383415222	NA	NA	NA
cell57	NA	NA	0.19772467017173767	NA
cell58	0.7922714352607727	NA	NA	NA
cell59	0.9684264063835144	NA	NA	NA
cell60	NA	NA	NA	0.8971911072731018
cell61	NA	NA	0.13581876456737518	NA
cell62	0.9591978192329407	NA	NA	NA
cell63	NA	NA	0.3195424973964691	NA
cell64	NA	0.4749956429004669	NA	NA
cell65	NA	NA	0.2724401354789734	NA
cell66	NA	NA	0.30004510283470154	NA
cell67	0.9733985662460327	NA	NA	NA
cell68	NA	NA	0.3183114528656006	NA
cell69	NA	0.4625996947288513	NA	NA
cell70	0.7262205481529236	NA	NA	NA
cell71	0.8184399604797363	NA	NA	NA
cell72	NA	NA	0.35762572288513184	NA
cell73	NA	NA	0.15925607085227966	NA
cell74	NA	NA	0.3409542441368103	NA
cell75	0.7731370329856873	NA	NA	NA
cell76	NA	NA	NA	0.9179243445396423
cell77	0.7812951803207397	NA	NA	NA
cell78	NA	NA	NA	0.9023967385292053
cell79	0.7757059931755066	NA	NA	NA
cell80	NA	NA	0.3370513916015625	NA
cell81	NA	NA	0.03784497082233429	NA
cell82	NA	NA	0.36110156774520874	NA
cell83	0.7381542921066284	NA	NA	NA
cell84	NA	NA	NA	0.87334144115448
cell85	NA	0.572339653968811	NA	NA
cell86	NA	0.4584651589393616	NA	NA
cell87	NA	NA	0.3173747658729553	NA
cell88	NA	NA	0.21052998304367065	NA
cell89	NA	NA	0.3743996024131775	NA
cell90	NA	NA	0.22956089675426483	NA
cell91	0.7570953965187073	NA	NA	NA
cell92	NA	NA	0.3075113594532013	NA
cell93	NA	0.5472005605697632	NA	NA
cell94	NA	NA	0.30106815695762634	NA
cell95	0.9007646441459656	NA	NA	NA
cell96	NA	0.5365566611289978	NA	NA
cell97	0.9449630379676819	NA	NA	NA
cell98	0.8221912980079651	NA	NA	NA
cell99	NA	NA	0.17873555421829224	NA
cell100	0.7488134503364563	NA	NA	NA
cell101	NA	NA	0.3105614185333252	NA
cell102	0.9470974206924438	NA	NA	NA
cell103	0.751758873462677	NA	NA	NA
cell104	NA	NA	0.322843462228775	NA
cell105	NA	0.5395610332489014	NA	NA
cell106	NA	NA	0.10895932465791702	NA
cell107	0.8991527557373047	NA	NA	NA
cell108	0.8105918765068054	NA	NA	NA
cell109	NA	0.4178158938884735	NA	NA
cell110	NA	NA	0.35905131697654724	NA
cell111	0.8983856439590454	NA	NA	NA
cell112	NA	NA	0.28254735469818115	NA
cell113	NA	NA	0.22206498682498932	NA
cell114	NA	0.537331759929657	NA	NA
cell115	0.8811736702919006	NA	NA	NA
cell116	NA	NA	0.22305600345134735	NA
cell117	NA	NA	0.28457650542259216	NA
cell118	NA	NA	0.2882014811038971	NA
cell119	0.7994582653045654	NA	NA	NA
cell120	NA	NA	0.30796685814857483	NA
cell121	0.9259161353111267	NA	NA	NA
cell122	NA	0.4497714638710022	NA	NA
cell123	NA	NA	0.26092568039894104	NA
