	traj_0
cell_0	0.022609142103282364
cell_1	0.14851524041886924
cell_2	0.9483288892720725
cell_3	0.02219027411577471
cell_4	0.7241469207478335
cell_5	0.07843885725848554
cell_6	0.018115766122125964
cell_7	0.006429960532026304
cell_8	0.02547433482153626
cell_9	0.2550689869921359
cell_10	0.4843514058509303
cell_11	0.013659253492007374
cell_12	0.21993158805544757
cell_13	0.0436598443306614
cell_14	0.16837843625068483
cell_15	0.45908295149568035
cell_16	0.04309193959539775
cell_17	0.01458504879328973
cell_18	0.5460618798048383
cell_19	0.35725372390309323
cell_20	0.38166385095495486
cell_21	0.01925084838693733
cell_22	0.4958418613980932
cell_23	0.020550389468263288
cell_24	0.043702588258518124
cell_25	0.40038117021380787
cell_26	0.015412922138309292
cell_27	0.015195491668310582
cell_28	0.06852491266069287
cell_29	0.033839343531460536
cell_30	0.03488572471351782
cell_31	0.05203392232732003
cell_32	0.013950991303462387
cell_33	0.04268989449279811
cell_34	0.7258097040019514
cell_35	0.052457146062579896
cell_36	0.4470840408008301
cell_37	0.10667308120507189
cell_38	0.026424359058720908
cell_39	0.09474629965355653
cell_40	0.39082935082294484
cell_41	0.6787527626450308
cell_42	0.9630554014687784
cell_43	0.01568117593401288
cell_44	0.024430713900288094
cell_45	0.07800449726426142
cell_46	0.04531887979435419
cell_47	0.06563153741812788
cell_48	0.05340888615518372
cell_49	0.008221756950874038
cell_50	0.019560392832417377
cell_51	0.48119146010346203
cell_52	0.21089850130369728
cell_53	0.034264553403409
cell_54	0.00624618365960416
cell_55	0.6938077863869226
cell_56	0.036122870032895424
cell_57	0.1627135627332007
cell_58	0.03523491893715468
cell_59	0.03696952115489708
cell_60	0.6321629802665907
cell_61	0.04195881174435318
cell_62	0.5966791272522245
cell_63	0.03444454443103343
cell_64	0.392646418715388
cell_65	0.024134166685662855
cell_66	0.021248634521611024
cell_67	0.05349289234966346
cell_68	0.022108130691559695
cell_69	0.9233919525437807
cell_70	0.019964407437672946
cell_71	0.018606857291264354
cell_72	0.5288030267163693
cell_73	0.3308559176042462
cell_74	0.14214904668416997
cell_75	0.05366499260066827
cell_76	0.09004298996602998
cell_77	0.5706040161906293
cell_78	0.6009299282693039
cell_79	0.9779897441092595
cell_80	0.6298768995078045
cell_81	0.7159443447928276
cell_82	0.02401660716139637
cell_83	0.03433535341097298
cell_84	0.21238762177360623
cell_85	0.05368746513674382
cell_86	0.03549676450586558
cell_87	0.06534055853523447
cell_88	0.042487639924866843
cell_89	0.025898410604422866
cell_90	0.020266657639206678
cell_91	0.039578933599197993
cell_92	0.149483257798107
cell_93	0.07331589132404526
cell_94	0.7843006145260921
cell_95	0.016678395488096135
cell_96	0.017301068136343467
cell_97	0.04704240457650484
cell_98	0.48336506037237537
cell_99	0.02424844059420125
cell_100	0.5203180178260611
cell_101	0.08553446881955676
cell_102	0.5340286772955892
cell_103	0.04109835000116259
cell_104	0.26937636195239406
cell_105	0.024746305860851782
cell_106	0.021913529039224118
cell_107	0.025356598327745394
cell_108	0.5473479258712056
cell_109	0.9422566798772352
cell_110	0.024989378359169406
cell_111	0.076554421428776
cell_112	0.10553762943268033
cell_113	0.21916053227730897
cell_114	0.021008668915277456
cell_115	0.0707125011141325
cell_116	0.07992367740721514
cell_117	0.21065971843294012
cell_118	0.00991802039477758
cell_119	0.15700834252180498
cell_120	0.015847939158101253
cell_121	0.0157425357294267
cell_122	0.16086973911739508
cell_123	0.016610573486226007
cell_124	0.5970588415566455
cell_125	0.22506842111972952
cell_126	0.017985029368543605
cell_127	0.037500923699576534
cell_128	0.08373349624622078
cell_129	0.047387385818869907
cell_130	0.5538950351471017
cell_131	0.06343959697933237
cell_132	0.40900957868046867
cell_133	0.00314614488939135
cell_134	0.025687117333647033
cell_135	0.2309706202384867
cell_136	0.7210761947210321
cell_137	0.037054962794781814
cell_138	0.5397164111869007
cell_139	0.0168950131317209
cell_140	0.1296762565371336
cell_141	0.053931720601814205
cell_142	0.08459627083386873
cell_143	0.02414102935657074
cell_144	0.027015092333151823
cell_145	0.11413412488923898
cell_146	0.9594050083680922
cell_147	0.01863311826524095
cell_148	0.2960584535606414
cell_149	0.005850519493385024
cell_150	0.042888670803823026
cell_151	0.11559822925960393
cell_152	0.9673896625458779
cell_153	0.993673290492887
cell_154	0.15623314929516824
cell_155	0.6855532487512569
cell_156	0.10558994360442896
cell_157	0.09755115442180799
cell_158	0.02403823319330936
cell_159	0.020424855327536837
cell_160	0.45773986414720325
cell_161	0.9684106573164514
cell_162	0.9129886656165289
cell_163	0.16221521902370217
cell_164	0.015091577150709058
cell_165	0.12602893536160845
cell_166	0.4757403677384113
cell_167	0.1305182853844553
cell_168	0.021541311005003904
cell_169	0.05027687164128002
cell_170	0.061102753622693226
cell_171	0.003845575321983517
cell_172	0.034150788721526715
cell_173	0.020571797164745272
cell_174	0.04569091479510836
cell_175	0.5965162994818896
cell_176	0.6967414920355294
cell_177	0.18889905448723449
cell_178	0.39943188690955705
cell_179	0.15957890212183723
cell_180	0.017237343431722587
cell_181	0.008412925318102027
cell_182	0.0037427297950457326
cell_183	0.05434107543463691
cell_184	0.017569793114448787
cell_185	0.04404564295752138
cell_186	0.019187845815225226
cell_187	0.29631740882649305
cell_188	0.042508805822163355
cell_189	0.4661667444987266
cell_190	0.5921881258342875
cell_191	0.09644400326515852
cell_192	0.05372176424038735
cell_193	0.03319834910543622
cell_194	0.004457910996757087
cell_195	0.11076553196631247
cell_196	0.2788767089533464
cell_197	0.12730669250095655
cell_198	0.006074112178428067
cell_199	0.4641541182875493
cell_200	0.7092792341167831
cell_201	0.8486110982637768
cell_202	0.7009855121692182
cell_203	0.08564716225806976
cell_204	0.5479112066671257
cell_205	0.11467463465453137
cell_206	0.10428719140360987
cell_207	0.005060384052708995
cell_208	0.025998153590487835
cell_209	0.05973248043043486
cell_210	0.04341432424563086
cell_211	0.00040373900227311417
cell_212	0.18829229361918298
cell_213	0.15956857576626712
cell_214	0.038989920565365856
cell_215	0.30577635447536944
cell_216	0.04824318587479377
cell_217	0.049549119647533224
cell_218	0.41535780370421926
cell_219	0.026273803552571744
cell_220	0.01928463853041985
cell_221	0.02356756514218944
cell_222	0.03781619048230332
cell_223	0.006434378173080022
cell_224	0.009579291301296144
cell_225	0.0559623425417966
cell_226	0.0643243017818168
cell_227	0.10519199248213848
cell_228	0.18694050606376975
cell_229	0.6001679807257053
cell_230	0.11737734030014309
cell_231	0.5087528597097988
cell_232	0.6453211698985842
cell_233	0.10534599635916383
cell_234	0.712508908290637
cell_235	0.35575183741482763
cell_236	0.025600244611419073
cell_237	0.3862273918512022
cell_238	0.2625533161395143
cell_239	0.005001080481080237
cell_240	0.026631435589225136
cell_241	0.021470886848137118
cell_242	0.23622891078167424
cell_243	0.17720902868752136
cell_244	0.03369385918848533
cell_245	0.06527841786257683
cell_246	0.11407820968974197
cell_247	0.04810719940833498
cell_248	0.054001415472531386
cell_249	0.02534300974808314
cell_250	0.03674170190930786
cell_251	0.5973019228706045
cell_252	0.1219116331968446
cell_253	0.03462820278143605
cell_254	0.10206755998055338
cell_255	0.070808341462307
cell_256	0.02124836720271295
cell_257	0.09293745761449491
cell_258	0.02072032560394343
cell_259	0.10338547355619558
cell_260	0.41043661202301385
cell_261	0.9334973633562326
cell_262	0.6521252158341063
cell_263	0.004752686059217127
cell_264	0.9660925001088907
cell_265	0.02064352328410443
cell_266	0.6314545225412882
cell_267	0.5958628350178834
cell_268	0.005126854858308313
cell_269	0.023413719450981887
cell_270	0.001032052905764107
cell_271	0.6011046158046067
cell_272	0.02629850692283142
cell_273	0.026205548197377176
cell_274	0.2218599404474567
cell_275	0.023671866897841124
cell_276	0.1945902088715984
cell_277	0.24059080875660796
cell_278	0.020900884527406495
cell_279	0.014395909966109165
cell_280	0.4251145548311926
cell_281	0.0066885104599202225
cell_282	0.04058340017580577
cell_283	0.007426095726460808
cell_284	0.15319727753999424
cell_285	0.11940711381571545
cell_286	0.10220498539074287
cell_287	0.018060910983308438
cell_288	0.025285844389657534
cell_289	0.0021779192913441037
cell_290	0.047663081852167055
cell_291	0.010262096782013898
cell_292	0.6006595558098085
cell_293	0.04191684514510747
cell_294	0.038310584843264835
cell_295	0.018439313147445683
cell_296	0.23002999292091003
cell_297	0.04459373636798438
cell_298	0.01573421634730871
cell_299	0.6150753206139213
cell_300	0.038595160916659974
cell_301	0.026383046532226975
cell_302	0.005523543730045602
cell_303	0.048626829177236375
cell_304	0.005775935875059021
cell_305	0.08058604854894796
cell_306	0.04823787101904508
cell_307	0.025919650874498976
cell_308	0.7022226937486951
cell_309	0.018565524171114654
cell_310	0.039920173547180506
cell_311	0.03356071106140428
cell_312	0.09875342329154518
cell_313	0.07189678782996214
cell_314	0.02162700373238655
cell_315	0.9201618166111123
cell_316	0.12548994122874985
cell_317	0.7018345820615934
cell_318	0.09171083687803228
cell_319	0.07253302085364068
cell_320	0.05670149262981371
cell_321	0.8218941699240326
cell_322	0.4346161316252435
cell_323	0.9221165866691853
cell_324	0.4512722805308246
cell_325	0.03551494652248706
cell_326	0.07541798982347037
cell_327	0.5895983001992229
cell_328	0.01920071546522922
cell_329	0.024063707350919263
cell_330	0.44804608076880664
cell_331	0.007107623108489228
cell_332	0.03693770842275843
cell_333	0.21820370854633395
cell_334	0.026692086188671377
cell_335	0.05182761545991515
cell_336	0.366718151154395
cell_337	0.4810786173984589
cell_338	0.052320828737567056
cell_339	0.6876869856696441
cell_340	0.15450023526123152
cell_341	0.026177829543885492
cell_342	0.02259942046588612
cell_343	0.05339130874726497
cell_344	0.08952035632297291
cell_345	0.014813792132353853
cell_346	0.015670701634739548
cell_347	0.47782661334651605
cell_348	0.013299877704327414
cell_349	0.18484874870407797
cell_350	0.01089976543605905
cell_351	0.09424340696379091
