	traj_0
Cell_1	0.981785549253945
Cell_2	1.0
Cell_3	0.9996738727710001
Cell_4	0.9970202447973805
Cell_5	0.9933128484318805
Cell_6	0.9963469466566794
Cell_7	0.9884655661486097
Cell_8	0.990605740677244
Cell_9	0.9954301794068113
Cell_10	0.992120873225167
Cell_11	0.9924578003397834
Cell_12	0.9928394341508376
Cell_13	0.987232064990216
Cell_14	0.9914418825149487
Cell_15	0.9864639064384891
Cell_16	0.9960040604202053
Cell_17	0.9706185825077854
Cell_18	0.9523197203819391
Cell_19	0.9766796711556887
Cell_20	0.9883382968126556
Cell_21	0.9913698532063401
Cell_22	0.9892350893726668
Cell_23	0.9918979342527942
Cell_24	0.9715618378920774
Cell_25	0.9691416679006447
Cell_26	0.973123386257603
Cell_27	0.9658303169801125
Cell_28	0.9866802298798861
Cell_29	0.9746636946290183
Cell_30	0.9696627876800533
Cell_31	0.9570669537066926
Cell_32	0.9410859074090652
Cell_33	0.9488578669820917
Cell_34	0.9330722680468354
Cell_35	0.9363060040457977
Cell_36	0.9490433276941352
Cell_37	0.9447090516740606
Cell_38	0.9384252097987157
Cell_39	0.9613220272325489
Cell_40	0.9568179331355904
Cell_41	0.9443800072181326
Cell_42	0.9659695171415702
Cell_43	0.9718511617361197
Cell_44	0.9792958331015331
Cell_45	0.9500857100623595
Cell_46	0.9671656225743119
Cell_47	0.9692337656890879
Cell_48	0.9694243734428186
Cell_49	0.9827061285088833
Cell_50	0.9815142614305687
Cell_51	0.9881605746653439
Cell_52	0.9496720878772366
Cell_53	0.965539825436249
Cell_54	0.9691212726875533
Cell_55	0.9603241417079319
Cell_56	0.9513084639635052
Cell_57	0.9612219538122854
Cell_58	0.9455495198131711
Cell_59	0.9446868422865244
Cell_60	0.9391966119964803
Cell_61	0.9425937786891915
Cell_62	0.9240852712894847
Cell_63	0.9378498231829585
Cell_64	0.9206973895392422
Cell_65	0.9524316317413691
Cell_66	0.9509894496510691
Cell_67	0.9151404418119654
Cell_68	0.9287654355253534
Cell_69	0.9240858854749269
Cell_70	0.8831269508736865
Cell_71	0.8974142903108888
Cell_72	0.8936052326349815
Cell_73	0.8967241036627762
Cell_74	0.890804172783977
Cell_75	0.9066719433485507
Cell_76	0.8985938939621991
Cell_77	0.9043165490256673
Cell_78	0.9074370552810856
Cell_79	0.9041354690664339
Cell_80	0.9033890161761546
Cell_81	0.8709121856207731
Cell_82	0.8677030966861775
Cell_83	0.8437315248751474
Cell_84	0.8768267535194886
Cell_85	0.8522397465972692
Cell_86	0.8346874037495025
Cell_87	0.8490744455515069
Cell_88	0.8539363839317924
Cell_89	0.837557113875708
Cell_90	0.8417012806920647
Cell_91	0.8315539579873648
Cell_92	0.8198516535194984
Cell_93	0.8102670280946531
Cell_94	0.8098710109347621
Cell_95	0.79758994886618
Cell_96	0.7932317400664252
Cell_97	0.79758994886618
Cell_98	0.794135904078799
Cell_99	0.8168687227425253
Cell_100	0.8070928019366439
Cell_101	0.8097803995640651
Cell_102	0.8004733536003581
Cell_103	0.7955142940230403
Cell_104	0.79469736475225
Cell_105	0.7881163858739321
Cell_106	0.7908068517020906
Cell_107	0.78772089509283
Cell_108	0.785035947260377
Cell_109	0.785035947260377
Cell_110	0.7850950032916817
Cell_111	0.7846301484428883
Cell_112	0.7837265756555902
Cell_113	0.7754562503195793
Cell_114	0.7865478962002934
Cell_115	0.7856563114772449
Cell_116	0.7905966553490602
Cell_117	0.7915435313197455
Cell_118	0.7874174867414406
Cell_119	0.7881926081986425
Cell_120	0.7902007920314135
Cell_121	0.7906479471195463
Cell_122	0.7859484542233742
Cell_123	0.7846032460022968
Cell_124	0.7676329383071813
Cell_125	0.7534768538618076
Cell_126	0.7890504725919751
Cell_127	0.7631412451220555
Cell_128	0.7688702021642868
Cell_129	0.7796194035587963
Cell_130	0.7731166429557432
Cell_131	0.7736537770435727
Cell_132	0.7776759729656401
Cell_133	0.7584879373904635
Cell_134	0.7734972458917894
Cell_135	0.7582207850653372
Cell_136	0.7542717107430105
Cell_137	0.7444029195860594
Cell_138	0.7423307704452108
Cell_139	0.7357779660397709
Cell_140	0.7360513686386954
Cell_141	0.7364811163230199
Cell_142	0.7352856671454275
Cell_143	0.7443677104193253
Cell_144	0.7341341236757847
Cell_145	0.7292651662420417
Cell_146	0.730758084424273
Cell_147	0.7260660664810725
Cell_148	0.7259887627696994
Cell_149	0.7282339603348519
Cell_150	0.7233283859098556
Cell_151	0.7258866839531121
Cell_152	0.7250338678556907
Cell_153	0.7216060526286056
Cell_154	0.7184786448073623
Cell_155	0.7195958661573549
Cell_156	0.7280371832647201
Cell_157	0.731582952152117
Cell_158	0.7380503276065808
Cell_159	0.7317148607849362
Cell_160	0.7394999101522933
Cell_161	0.7225354968971915
Cell_162	0.7393841399575116
Cell_163	0.7214620572099558
Cell_164	0.7213154258971334
Cell_165	0.7242920489501335
Cell_166	0.7176209627939387
Cell_167	0.7182130349374306
Cell_168	0.7183557418439236
Cell_169	0.7127154349085785
Cell_170	0.7207831697417462
Cell_171	0.7196310404298502
Cell_172	0.7151845554754522
Cell_173	0.7151845554754522
Cell_174	0.7016974667154571
Cell_175	0.7026302173982438
Cell_176	0.7017432026030423
Cell_177	0.6912896618309498
Cell_178	0.6824812513795918
Cell_179	0.6749767653219946
Cell_180	0.671638591951084
Cell_181	0.6763383915269441
Cell_182	0.6856937471343392
Cell_183	0.6779394052125182
Cell_184	0.6878628962740687
Cell_185	0.6789375148716984
Cell_186	0.6613538053903002
Cell_187	0.664525242557166
Cell_188	0.683708447061273
Cell_189	0.663393408986907
Cell_190	0.6566470870570252
Cell_191	0.654604089159648
Cell_192	0.6478757329565826
Cell_193	0.6517933226938804
Cell_194	0.6489885571521089
Cell_195	0.6496473172000023
Cell_196	0.6477062774527529
Cell_197	0.6534619323572636
Cell_198	0.6489748103256628
Cell_199	0.6470031716447561
Cell_200	0.6451270490269555
Cell_201	0.6461101170809851
Cell_202	0.6459268260327399
Cell_203	0.6459268260327399
Cell_204	0.6450535089073287
Cell_205	0.6454336994684002
Cell_206	0.6494531467308132
Cell_207	0.6504922772158517
Cell_208	0.6504068111381448
Cell_209	0.6494634974315332
Cell_210	0.6461275076805929
Cell_211	0.6480585077257142
Cell_212	0.6472169366298641
Cell_213	0.6470057083122782
Cell_214	0.6456396071282605
Cell_215	0.648185613298388
Cell_216	0.6509189354953961
Cell_217	0.655314410127272
Cell_218	0.6472438473105436
Cell_219	0.6591858790992798
Cell_220	0.6531964658197477
Cell_221	0.6491978266777546
Cell_222	0.6518866215103666
Cell_223	0.6522458972755275
Cell_224	0.6525885860638163
Cell_225	0.6553563163577233
Cell_226	0.6578454724587655
Cell_227	0.6599960984556849
Cell_228	0.6623825649244499
Cell_229	0.6607781799423778
Cell_230	0.6612996434492249
Cell_231	0.6598430541593016
Cell_232	0.6672039441788115
Cell_233	0.6655534768297353
Cell_234	0.6694082963832607
Cell_235	0.6697216717275748
Cell_236	0.6700274088792347
Cell_237	0.6695865735628037
Cell_238	0.6684464775628742
Cell_239	0.6685146390921254
Cell_240	0.6709807807054553
Cell_241	0.6686188577132689
Cell_242	0.6690455444200198
Cell_243	0.6710850124048136
Cell_244	0.6675267869473082
Cell_245	0.6655578556922708
Cell_246	0.6614988175865492
Cell_247	0.6623209964088748
Cell_248	0.6655963521419977
Cell_249	0.6631549284005374
Cell_250	0.6627299632747257
Cell_251	0.6565939190545645
Cell_252	0.6644121131734205
Cell_253	0.6660105530999673
Cell_254	0.662506886028857
Cell_255	0.651542271295402
Cell_256	0.63600473341666
Cell_257	0.6418534859466528
Cell_258	0.6378990428332015
Cell_259	0.6257640726324271
Cell_260	0.601681635931441
Cell_261	0.5986338815229066
Cell_262	0.6015631745172226
Cell_263	0.6064847942804544
Cell_264	0.5971235542116156
Cell_265	0.593225383881044
Cell_266	0.5617243759504571
Cell_267	0.5617243759504571
Cell_268	0.5711361734771329
Cell_269	0.566144368631486
Cell_270	0.5711361734771329
Cell_271	0.541668045989799
Cell_272	0.5312290715471591
Cell_273	0.5192889864822964
Cell_274	0.5368696740908008
Cell_275	0.5371267752155269
Cell_276	0.52327753202003
Cell_277	0.5066805110042086
Cell_278	0.54799198301788
Cell_279	0.5355190293977593
Cell_280	0.5222529671687796
Cell_281	0.5162670882360484
Cell_282	0.5099241383920254
Cell_283	0.5083814187533143
Cell_284	0.5087575725202356
Cell_285	0.5108443499882405
Cell_286	0.5059623314782499
Cell_287	0.506453829731599
Cell_288	0.5033563598267315
Cell_289	0.5022364969080174
Cell_290	0.5044373122575111
Cell_291	0.5027008752970878
Cell_292	0.5053085639507691
Cell_293	0.50193820553909
Cell_294	0.5036400209842055
Cell_295	0.5025355283461177
Cell_296	0.49702723736518095
Cell_297	0.5003824866220276
Cell_298	0.5004364489358212
Cell_299	0.5025782855630834
Cell_300	0.501257890111088
Cell_301	0.5007329599085887
Cell_302	0.4963159466375194
Cell_303	0.49884246493358253
Cell_304	0.5018746215699261
Cell_305	0.5079412449931914
Cell_306	0.5115493331086529
Cell_307	0.5144200802075247
Cell_308	0.5180260984898446
Cell_309	0.5109547364128496
Cell_310	0.5168833628571644
Cell_311	0.5188528455694004
Cell_312	0.5226432265559006
Cell_313	0.5247146431452605
Cell_314	0.5223343958493051
Cell_315	0.5415751257155053
Cell_316	0.5343395901446159
Cell_317	0.535855679670013
Cell_318	0.5320063979072263
Cell_319	0.5327872658405206
Cell_320	0.5324625511988291
Cell_321	0.5290766313704689
Cell_322	0.5421549779617917
Cell_323	0.5321944329404977
Cell_324	0.5322307651749157
Cell_325	0.5314876501424137
Cell_326	0.536510437759394
Cell_327	0.5336040354572363
Cell_328	0.542881726278954
Cell_329	0.5322403859164948
Cell_330	0.5419596881685226
Cell_331	0.5213454317894154
Cell_332	0.5412890823025965
Cell_333	0.5348437104636341
Cell_334	0.5390369062375256
Cell_335	0.5366874289767161
Cell_336	0.5368603465194174
Cell_337	0.5391883684190993
Cell_338	0.5350625532332117
Cell_339	0.5353897087749935
Cell_340	0.5414433565209317
Cell_341	0.5391553823794237
Cell_342	0.5379765207263105
Cell_343	0.5391276802806184
Cell_344	0.5430130296625405
Cell_345	0.5404513448606555
Cell_346	0.5432943380841762
Cell_347	0.5387749429648936
Cell_348	0.5381161680573534
Cell_349	0.5362765984455283
Cell_350	0.5378659258871513
Cell_351	0.5397353871912266
Cell_352	0.5360260061879851
Cell_353	0.5423074675808066
Cell_354	0.5408528587953945
Cell_355	0.5370706870985937
Cell_356	0.5382657932145393
Cell_357	0.5370485570175719
Cell_358	0.5386476606736496
Cell_359	0.5376096923658006
Cell_360	0.5356637222959842
Cell_361	0.5329484713114778
Cell_362	0.5406014439471216
Cell_363	0.5380875307758021
Cell_364	0.5400089026586655
Cell_365	0.542160189720886
Cell_366	0.5517550716529186
Cell_367	0.5489308471740778
Cell_368	0.5441868349007
Cell_369	0.543698084187667
Cell_370	0.553162382015699
Cell_371	0.5543855966522772
Cell_372	0.5514702464279809
Cell_373	0.5551864280428134
Cell_374	0.5563048717741652
Cell_375	0.554059220976762
Cell_376	0.5548899692915807
Cell_377	0.5461622972690686
Cell_378	0.5667859953917955
Cell_379	0.5595363635322
Cell_380	0.57175653296258
Cell_381	0.5886073921317766
Cell_382	0.5812572775195544
Cell_383	0.6272365320406073
Cell_384	0.6108199576811041
Cell_385	0.6237191138366602
Cell_386	0.6705974282738373
Cell_387	0.666243781130042
Cell_388	0.6864621798185272
Cell_389	0.6784121120180348
Cell_390	0.6145105002172662
Cell_391	0.618557918790155
Cell_392	0.6463244128655343
Cell_393	0.669477330465864
Cell_394	0.6633855092614291
Cell_395	0.6920684837579439
Cell_396	0.6891484239256642
Cell_397	0.6865442147659621
Cell_398	0.6792366573429413
Cell_399	0.6686963407040432
Cell_400	0.6761499313376609
Cell_401	0.6721909554046605
Cell_402	0.6809824905661712
Cell_403	0.6959864335686721
Cell_404	0.6934902183355378
Cell_405	0.6915697560969244
Cell_406	0.6935736933586027
Cell_407	0.6958200047451008
Cell_408	0.700563081481782
Cell_409	0.6727045363280689
Cell_410	0.6822218737244816
Cell_411	0.702589821198429
Cell_412	0.7018120862250178
Cell_413	0.7032917364725589
Cell_414	0.6993604295772081
Cell_415	0.7015040592147691
Cell_416	0.6967493099860319
Cell_417	0.7021885011781211
Cell_418	0.703931622088414
Cell_419	0.7031319385940591
Cell_420	0.7019791789202405
Cell_421	0.6969221368442654
Cell_422	0.7004595708481612
Cell_423	0.7069187120645776
Cell_424	0.6909893580722162
Cell_425	0.6953613594519851
Cell_426	0.6963171574737308
Cell_427	0.6984775204175426
Cell_428	0.7023748198050187
Cell_429	0.7016817328369416
Cell_430	0.7026307236757747
Cell_431	0.700335430345137
Cell_432	0.6945218749996631
Cell_433	0.6925009047121833
Cell_434	0.6865815384313696
Cell_435	0.6857767470632393
Cell_436	0.6641784015377172
Cell_437	0.6666855758437802
Cell_438	0.646972400828648
Cell_439	0.6340770336704038
Cell_440	0.639044270664597
Cell_441	0.6358084480673964
Cell_442	0.6139892428713918
Cell_443	0.6326985207768572
Cell_444	0.6365609940525582
Cell_445	0.6355859423395825
Cell_446	0.624674860373059
Cell_447	0.6331028536069006
Cell_448	0.6254804670283026
Cell_449	0.6217896267773095
Cell_450	0.6175666215765018
Cell_451	0.6106930256051423
Cell_452	0.6110997146783413
Cell_453	0.6114891501763094
Cell_454	0.607619773896458
Cell_455	0.6072928087424925
Cell_456	0.6060740731599079
Cell_457	0.6044042871209113
Cell_458	0.6017309912215177
Cell_459	0.5941340561113564
Cell_460	0.5965797020746675
Cell_461	0.5958136009752273
Cell_462	0.5998886996289207
Cell_463	0.6068287538362629
Cell_464	0.6132097395884396
Cell_465	0.6122408150011386
Cell_466	0.5968778090451855
Cell_467	0.5966631314058682
Cell_468	0.6025435986255935
Cell_469	0.5985435315801884
Cell_470	0.6018641882039183
Cell_471	0.6221657313206529
Cell_472	0.6378082882132657
Cell_473	0.6346845065756913
Cell_474	0.6448445720625137
Cell_475	0.6422733184185626
Cell_476	0.6439999175935565
Cell_477	0.662854508832232
Cell_478	0.6614548139838066
Cell_479	0.6462277363454422
Cell_480	0.6442713124060548
Cell_481	0.6443381130819894
Cell_482	0.633356430045958
Cell_483	0.6365782333947894
Cell_484	0.6394168346922878
Cell_485	0.6578005715046658
Cell_486	0.6497552642986563
Cell_487	0.6678878952016906
Cell_488	0.6810383482375867
Cell_489	0.6737646249461103
Cell_490	0.6743599941530022
Cell_491	0.6651950706223252
Cell_492	0.6696938682162844
Cell_493	0.6752668694375914
Cell_494	0.6732903828572763
Cell_495	0.6654751497760235
Cell_496	0.6786071909536279
Cell_497	0.6731936073013388
Cell_498	0.6714000319215357
Cell_499	0.6786200962753094
Cell_500	0.6854074714253515
Cell_501	0.683295980312726
Cell_502	0.679230891951262
Cell_503	0.6699197130200154
Cell_504	0.6690122863914949
Cell_505	0.6762005497730598
Cell_506	0.6805412383836759
Cell_507	0.6898361354312855
Cell_508	0.6849690370918321
Cell_509	0.6927264675882465
Cell_510	0.6759342170116454
Cell_511	0.6833558515842775
Cell_512	0.6842044275551633
Cell_513	0.6814705786909546
Cell_514	0.6899997128399419
Cell_515	0.6908391511760449
Cell_516	0.6853635563926783
Cell_517	0.683602777286437
Cell_518	0.6796979091472143
Cell_519	0.6791723039516391
Cell_520	0.672913273281073
Cell_521	0.6763598173992327
Cell_522	0.6867062484878462
Cell_523	0.6828516304874344
Cell_524	0.6789958450477162
Cell_525	0.6891260184008808
Cell_526	0.6896238700721088
Cell_527	0.6925321177751598
Cell_528	0.6880934389143226
Cell_529	0.6894762978056095
Cell_530	0.6892457100837555
Cell_531	0.6895163975855677
Cell_532	0.6884667250426149
Cell_533	0.6882473540782192
Cell_534	0.6830980915578454
Cell_535	0.6778789494789024
Cell_536	0.6876512090009057
Cell_537	0.6906329222180172
Cell_538	0.68578504301912
Cell_539	0.6891840462449379
Cell_540	0.6764315262221055
Cell_541	0.681686318548651
Cell_542	0.6748735752212924
Cell_543	0.6748534469120392
Cell_544	0.6553050881877599
Cell_545	0.6489727436734296
Cell_546	0.65095577395174
Cell_547	0.6511949640120294
Cell_548	0.6524883786711887
Cell_549	0.6338876664029123
Cell_550	0.6287772687335955
Cell_551	0.6396653334496264
Cell_552	0.6300655942615523
Cell_553	0.6139348558578942
Cell_554	0.6206641538258346
Cell_555	0.6294816142060895
Cell_556	0.6222183809764981
Cell_557	0.6179089176467166
Cell_558	0.6231958258886202
Cell_559	0.614971036869918
Cell_560	0.6110586500775186
Cell_561	0.6168355609118202
Cell_562	0.6102787344523932
Cell_563	0.613683322564867
Cell_564	0.6094184617666986
Cell_565	0.6157034512521785
Cell_566	0.613307432522125
Cell_567	0.6073490743842349
Cell_568	0.6094725283774723
Cell_569	0.610787074884154
Cell_570	0.6014543420198608
Cell_571	0.6076381552258924
Cell_572	0.6054456650823697
Cell_573	0.6015080747435332
Cell_574	0.6043609551274854
Cell_575	0.6011330538464075
Cell_576	0.6086913147039433
Cell_577	0.6116559720529684
Cell_578	0.611091414019589
Cell_579	0.6134364473696023
Cell_580	0.6139923639876025
Cell_581	0.6072517567263369
Cell_582	0.6089090860834084
Cell_583	0.5943985263366879
Cell_584	0.5797915058343945
Cell_585	0.5870329005377011
Cell_586	0.574962876814205
Cell_587	0.5825016042040481
Cell_588	0.5799390504029567
Cell_589	0.5788678515363269
Cell_590	0.5703255451535554
Cell_591	0.5731377892745211
Cell_592	0.5724081163705946
Cell_593	0.5754547545251847
Cell_594	0.5664603932032535
Cell_595	0.5773440653020003
Cell_596	0.5731559665088795
Cell_597	0.5735555609373421
Cell_598	0.5716123104413938
Cell_599	0.5672536196651805
