,n_meta,dataset,kt
0,40,1,0.8622503796696004
1,40,1,0.7449847943219736
2,40,1,0.8380609065210963
3,40,1,0.8691922832334485
4,40,1,0.8383349463489238
5,40,1,0.2777061156281076
6,40,1,0.35803849146179256
7,40,1,0.8073312600494633
8,40,1,0.3342041201139232
9,40,1,0.7931677019566917
10,40,1,0.2789713486436418
11,40,1,0.8330900043609927
12,40,1,0.8479055686332482
13,40,1,0.7802503605651395
14,40,1,0.4483673361789546
15,40,1,0.8306991003629509
16,40,1,0.8422430578423056
17,40,1,0.31960173116515667
18,40,1,0.5174245057603976
19,40,1,0.840175717223439
20,40,1,0.8730506132769296
21,40,1,0.5029079731946526
22,40,1,0.43369366426859246
23,40,1,0.8665174037381339
24,40,1,0.8447558397995106
25,40,1,0.5068450582666699
26,40,1,0.754689019313689
27,40,1,0.8522077087779628
28,40,1,0.8703055670159556
29,40,1,0.2927877189031061
30,40,1,0.8817886479379478
31,40,1,0.8748740694463816
32,40,1,0.8572905392899334
33,40,1,0.7432897211910465
34,40,1,0.5068089837850063
35,40,1,0.8648152690405158
36,40,1,0.844636193228091
37,40,1,0.7841503315686641
38,40,1,0.5275735049952287
39,40,1,0.8521350678827989
40,200,1,0.8400391757285378
41,200,1,0.7959429386652096
42,200,1,0.7470719912717989
43,200,1,0.8332338526020624
44,200,1,0.7881302584928992
45,200,1,0.8054168710433157
46,200,1,0.8738578798021854
47,200,1,0.8205685446820078
48,200,1,0.7774524868989068
49,200,1,0.8725758844604219
50,200,1,0.8633030570779678
51,200,1,0.8744983809495196
52,200,1,0.8461888159213307
53,200,1,0.7642650413256752
54,200,1,0.8953210319089626
55,200,1,0.871279612278048
56,200,1,0.8476891662294254
57,200,1,0.8466488156037075
58,200,1,0.8462019459561966
59,200,1,0.7294198356188151
60,200,1,0.8167584490018858
61,200,1,0.83517111971803
62,200,1,0.8181456662825723
63,200,1,0.8426901196462587
64,200,1,0.8344783252577176
65,200,1,0.772163562204815
66,200,1,0.6510920932078061
67,200,1,0.8420468784094667
68,200,1,0.7234621627501281
69,200,1,0.8492693291224671
70,200,1,0.8507315503745447
71,200,1,0.8009781897149176
72,200,1,0.7265211961155574
73,200,1,0.8265308382842584
74,200,1,0.8265605861655949
75,200,1,0.7317658814076345
76,200,1,0.8495627908805006
77,200,1,0.8162213611579017
78,200,1,0.7158449292704795
79,200,1,0.7683461762144165
80,200,1,0.8381925274864022
81,200,1,0.8487809026366498
82,200,1,0.8517103408213483
83,200,1,0.7767877041036308
84,200,1,0.7237297224285256
85,200,1,0.8110219839163497
86,200,1,0.8407517716607595
87,200,1,0.8508959959253798
88,200,1,0.868014477714991
89,200,1,0.8134173302852982
90,200,1,0.7724938963554054
91,200,1,0.8509305708254649
92,200,1,0.8153509152482226
93,200,1,0.8610209794216072
94,200,1,0.8453820696690012
95,200,1,0.7912933817949694
96,200,1,0.7427931288740796
97,200,1,0.8366101284597541
98,200,1,0.7753549434294819
99,200,1,0.845203814665259
100,500,1,0.7980043367538878
101,500,1,0.8584136004937108
102,500,1,0.7434053757209707
103,500,1,0.7988820201154886
104,500,1,0.8016944011704435
105,500,1,0.7869546362690406
106,500,1,0.8196961023925061
107,500,1,0.8655496045317517
108,500,1,0.7749605228847176
109,500,1,0.8169363969156681
110,500,1,0.853123512512289
111,500,1,0.8231371815410998
112,500,1,0.8384767075077869
113,500,1,0.7988385641037691
114,500,1,0.7695379877396848
115,500,1,0.8472412170501274
116,500,1,0.7993244622533615
117,500,1,0.8447882321212654
118,500,1,0.8456471235582487
119,500,1,0.8048468070556543
120,500,1,0.7658592934172085
121,500,1,0.8538244155386753
122,500,1,0.8035720371537376
123,500,1,0.8044252365530159
124,500,1,0.8595553299645398
125,500,1,0.7999864141903211
126,500,1,0.7623970510022933
127,500,1,0.8684566433877624
128,500,1,0.8615761256253279
129,500,1,0.8092486691714771
130,500,1,0.8557772099070934
131,500,1,0.8120287564512779
132,500,1,0.7488516708452836
133,500,1,0.8361054631337789
134,500,1,0.8018287468690728
135,500,1,0.820316609903762
136,500,1,0.8004223229591351
137,500,1,0.764798129819732
138,500,1,0.8695594911600062
139,500,1,0.8009428829092305
140,500,1,0.8239234900375869
141,500,1,0.8813317520767369
142,500,1,0.875089193143399
143,500,1,0.8031171011804643
144,500,1,0.7518834869241893
145,500,1,0.8642965119365592
146,500,1,0.8044910461983513
147,500,1,0.8335666413512477
148,500,1,0.828191821379286
149,500,1,0.8352202165901785
150,500,1,0.8155247663871961
151,500,1,0.8247047863108954
152,500,1,0.5264121127189116
153,500,1,0.8290755905490276
154,500,1,0.832197805860737
155,500,1,0.8325995024680962
156,500,1,0.5348046518958313
157,500,1,0.8506720042750396
158,500,1,0.8138479965176025
159,500,1,0.8128762631095836
160,40,2,0.30475288227616076
161,40,2,0.7760182805196989
162,40,2,0.7967268865694149
163,40,2,0.8433670643675428
164,40,2,0.8769311509636118
165,40,2,0.7117428030919036
166,40,2,0.8619330384083022
167,40,2,0.7699912490331574
168,40,2,0.8390071191890488
169,40,2,0.7911334925011412
170,40,2,-0.7155233710966613
171,40,2,0.5500476641644448
172,40,2,0.7787193958962225
173,40,2,0.8134603232853181
174,40,2,-0.6382474604298098
175,40,2,0.6341705966664828
176,40,2,0.5415445597021078
177,40,2,0.4635045113209226
178,40,2,0.4001605581456521
179,40,2,0.5290250721418953
180,40,2,0.7853768784722089
181,40,2,0.8108653149649682
182,40,2,-0.32658604476739955
183,40,2,0.6497089340574662
184,40,2,0.7636272073829551
185,40,2,0.7607550410614392
186,40,2,0.6178560061847231
187,40,2,0.6754920300148839
188,40,2,0.8729478495670905
189,40,2,0.8254462540284307
190,40,2,0.1650297874877286
191,40,2,0.8729057776256887
