,n_meta,dataset,kt
0,40,1,0.6918009297600572
1,40,1,0.49855265715736286
2,40,1,0.5324421144290594
3,40,1,0.5838872877810292
4,40,1,0.6000421731986778
5,40,1,0.6102230407285768
6,40,1,0.6146977206788468
7,40,1,0.507137980716015
8,40,1,0.6023178389204424
9,40,1,0.5888332683586662
10,200,1,0.6821498192429835
11,200,1,0.6771041508464954
12,200,1,0.574496484005151
13,200,1,0.6919544775267709
14,200,1,0.6629947253582045
15,200,1,0.6925214645498651
16,200,1,0.7050546033130219
17,200,1,0.6839545774782265
18,200,1,0.6886717255446421
19,200,1,0.697467629876305
20,500,1,0.6629344314555236
21,500,1,0.7023353159547957
22,500,1,0.6985730074136857
23,500,1,0.692036738026018
24,500,1,0.6711960713382347
25,500,1,0.7091550259423651
26,500,1,0.6601922027331671
27,500,1,0.6998197905165234
28,500,1,0.538200239269613
29,500,1,0.5276251429586476
30,40,2,0.48978237532203367
31,40,2,0.6561003340940587
32,40,2,0.014883298668232438
33,40,2,0.3324829505539197
34,40,2,0.6198397302742139
35,40,2,0.4243359047818106
36,40,2,0.40348628698540473
37,40,2,0.4569738655182163
38,40,2,0.5142061729079344
39,40,2,0.44004177303984554
40,200,2,0.34569712286205284
41,200,2,0.67831287671143
42,200,2,0.6335881916956275
43,200,2,0.5999539619864136
44,200,2,0.678595468996566
45,200,2,0.5269501225953841
46,200,2,0.5348405395367704
47,200,2,0.5153511803476678
48,200,2,0.5310753820856621
49,200,2,0.3561548656893846
50,500,2,0.5529750340393869
51,500,2,0.5264330696411286
52,500,2,0.5185349241014362
53,500,2,0.5758691519817369
54,500,2,0.4904339343965174
55,500,2,0.3875710292396978
56,500,2,0.4837106195517273
57,500,2,0.37009743473962814
58,500,2,0.34625805796351833
59,500,2,0.568120678872889
60,40,3,0.8022786333099751
61,40,3,0.7858540161027434
62,40,3,0.790100675857252
63,40,3,0.7367095043406712
64,40,3,0.6804189573084096
65,40,3,0.6919430000353327
66,40,3,0.7616443619008422
67,40,3,0.7691482973063424
68,40,3,0.6395946292003022
69,40,3,0.7808469541747209
70,200,3,0.7688777070491053
71,200,3,0.785811796560828
72,200,3,0.5281522358311262
73,200,3,0.7302886358700557
74,200,3,0.701274133968689
75,200,3,0.7278097748629084
76,200,3,0.7243872792709461
77,200,3,0.7962726347938371
78,200,3,0.7384463977325895
79,200,3,0.7786473540898443
80,500,3,0.7376594784285615
81,500,3,0.7080113405910824
82,500,3,0.6938338242441201
83,500,3,0.7020324565984294
84,500,3,0.6078751623393017
85,500,3,0.6001998278224462
86,500,3,0.5757468899032406
87,500,3,0.7833485327634503
88,500,3,0.6569980665321281
89,500,3,0.6570225727977231
90,40,4,0.7440275329155676
91,40,4,0.8210859579940325
92,40,4,0.7577959044337848
93,40,4,0.7489757126483313
94,40,4,0.7409874730957005
95,40,4,0.781580434298684
96,40,4,0.7993502787965779
97,40,4,0.7996709109088834
98,40,4,0.7973475570733881
99,40,4,0.8240974747205149
100,200,4,0.7976107245492672
101,200,4,0.8183042655039333
102,200,4,0.8207674118612173
103,200,4,0.42586534522523783
104,200,4,0.832969472476569
105,200,4,0.37883790289632163
106,200,4,0.24922368514091778
107,200,4,0.15672514555594957
108,200,4,0.8271627168272562
109,200,4,0.37189015832463124
110,500,4,0.8291230376972186
111,500,4,0.18218700305247237
112,500,4,0.835733060175043
113,500,4,0.2944163116815986
114,500,4,0.8409051545462003
115,500,4,0.031161352583495183
116,500,4,0.19555525689030046
117,500,4,0.14790679280559363
118,500,4,0.4849980797070523
119,500,4,0.3943118497135656
