	traj_0
cell1	0.83856549865475
cell2	0.4142873867507316
cell3	0.04300575640697001
cell4	0.01446774198328613
cell5	0.015038811609317545
cell6	0.04027886972753659
cell7	0.0798242308938335
cell8	0.0026741084607651666
cell9	0.08942896148106053
cell10	0.082388741556154
cell11	0.10273441158874667
cell12	0.014094175638694011
cell13	0.8453253676402054
cell14	0.22300221280988516
cell15	0.017223888227654863
cell16	0.10491731826966152
cell17	0.041987789105192005
cell18	0.07485053921224134
cell19	0.0953396131142263
cell20	0.08187590533303311
cell21	0.04300575494803927
cell22	0.018338586087427583
cell23	0.0646013190115795
cell24	0.0023176187036238484
cell25	0.08151578152682963
cell26	0.04255007128116019
cell27	0.012785360098719618
cell28	0.03173680603424785
cell29	0.07852895239801282
cell30	0.07615888851464557
cell31	0.0422009746361035
cell32	0.013612346596577073
cell33	0.01956254108406867
cell34	0.10704325095809264
cell35	0.9909563736087208
cell36	0.07623145753191662
cell37	0.01800297944098753
cell38	0.12227479041772533
cell39	0.25820841813722706
cell40	0.0013368712548081582
cell41	0.017468127980561823
cell42	0.37633298689627026
cell43	0.011543585305848791
cell44	0.13078656734589333
cell45	0.014524914476876007
cell46	0.021462295494124775
cell47	0.5814248572459302
cell48	0.09511876664922311
cell49	0.05993842304006847
cell50	0.11560742534936203
cell51	0.0427563719285102
cell52	0.01693179438771973
cell53	0.039131788469402615
cell54	0.04033227586104679
cell55	0.9978386797939093
cell56	0.1048244369016206
cell57	0.017083808462584876
cell58	0.015069470716946398
cell59	0.07568612848121198
cell60	0.042741653904658755
cell61	0.10457686632283868
cell62	0.03921772453734385
cell63	0.9496693310899593
cell64	0.07536947808363939
cell65	0.01757783986082239
cell66	0.04023902906175533
cell67	0.04300575517446952
cell68	0.013375738033873827
cell69	0.10512597933471801
cell70	0.03865392176855338
cell71	0.03968332201908887
cell72	0.07814352051574178
cell73	0.04300575525980251
cell74	0.9673602282993881
cell75	0.013059847070212948
cell76	0.01412642194126017
cell77	0.03851709944200097
cell78	0.0405598668811156
cell79	0.9812662108337009
cell80	0.1020215929728898
cell81	0.03859580626349677
cell82	0.013689029551150781
cell83	0.012211401674885011
cell84	0.14312896291455524
cell85	0.04065433247803248
cell86	0.08763823501716413
cell87	0.03748636161257215
cell88	0.09918081956973283
cell89	0.04064720181893309
cell90	0.10993699301635243
cell91	0.9935206474737748
cell92	0.04300575602647013
cell93	0.11458747046284261
cell94	0.13692263271690436
cell95	0.03371770436127333
cell96	0.01677644138396138
cell97	0.0923409214024996
cell98	0.009699329238806675
cell99	0.03823997757068428
cell100	0.018465802137433734
cell101	0.011446661049521398
cell102	0.07712291154888302
cell103	0.017616549456516077
cell104	0.8498219487543895
cell105	0.17754076418281983
cell106	0.7496254630196675
cell107	0.9709926932980429
cell108	0.04262528843396609
cell109	0.03394993369624103
cell110	0.10905800843438604
cell111	0.15257781070419968
cell112	0.09120670970680383
cell113	0.015983944205041005
cell114	0.03795295375834911
cell115	0.025184302608519598
cell116	0.07720348802290838
cell117	0.4128272721069021
cell118	0.10903867406139199
cell119	0.9729071417062741
cell120	0.017180442066449506
cell121	0.037331005466583994
cell122	0.07888589362492095
cell123	0.027776802096928822
cell124	0.017591563735798493
