	traj_0
Cell_1	0.48384776124364215
Cell_2	0.47739037094883663
Cell_3	0.4821534490369117
Cell_4	0.48517393319411
Cell_5	0.48583982577776236
Cell_6	0.4851794999412386
Cell_7	0.4884899640268374
Cell_8	0.4861100270307585
Cell_9	0.4904781623600375
Cell_10	0.48906267589426305
Cell_11	0.49074332985410724
Cell_12	0.49074332985410724
Cell_13	0.4952376494147553
Cell_14	0.4955276268113447
Cell_15	0.4960983123077464
Cell_16	0.4964542170077181
Cell_17	0.49627996013317416
Cell_18	0.4953289816531865
Cell_19	0.49373431511124977
Cell_20	0.4959111446206541
Cell_21	0.4931023306718695
Cell_22	0.4881498197704978
Cell_23	0.49020680244189047
Cell_24	0.49210135987405496
Cell_25	0.49600412657018533
Cell_26	0.49497405054059124
Cell_27	0.4930561376198996
Cell_28	0.49571404812155756
Cell_29	0.4906193046446708
Cell_30	0.4920595740028932
Cell_31	0.49007026981560814
Cell_32	0.49323976726075586
Cell_33	0.4994883699509703
Cell_34	0.4987353804163372
Cell_35	0.4994456557288843
Cell_36	0.4968996587173373
Cell_37	0.4900345612047327
Cell_38	0.4975957774196822
Cell_39	0.4934660049054296
Cell_40	0.49104161504673943
Cell_41	0.49534410620961594
Cell_42	0.49269204168022124
Cell_43	0.4870224952376821
Cell_44	0.4846080384880314
Cell_45	0.4869074677255905
Cell_46	0.48739464962638507
Cell_47	0.48797334504448947
Cell_48	0.491931371877657
Cell_49	0.4930619088927368
Cell_50	0.4949423803389098
Cell_51	0.48914550480301033
Cell_52	0.4977439548272983
Cell_53	0.4946050306189907
Cell_54	0.5079239613539266
Cell_55	0.5097236051317198
Cell_56	0.5078037789916663
Cell_57	0.5079496393219967
Cell_58	0.5088635885577131
Cell_59	0.5028386573781685
Cell_60	0.5296954176398622
Cell_61	0.532748975099385
Cell_62	0.5336785050231367
Cell_63	0.531219904838518
Cell_64	0.5226661896544231
Cell_65	0.5269389574652543
Cell_66	0.5244853599422797
Cell_67	0.523401194362353
Cell_68	0.5237007020665895
Cell_69	0.520866498179512
Cell_70	0.5245434220332086
Cell_71	0.5209213034451712
Cell_72	0.5176207704600092
Cell_73	0.5250773618495727
Cell_74	0.5158896416057657
Cell_75	0.5223233851843406
Cell_76	0.5311633476361973
Cell_77	0.5295058991128344
Cell_78	0.5225481985088244
Cell_79	0.5282434196303002
Cell_80	0.5245591618976068
Cell_81	0.5138852025677417
Cell_82	0.5121504129176009
Cell_83	0.5161553115958046
Cell_84	0.5085607871986575
Cell_85	0.5115027844940537
