,method,dataset,kt
0,k-means,1,0.6821498192429835
1,k-means,1,0.6771041508464954
2,k-means,1,0.574496484005151
3,k-means,1,0.6919544775267709
4,k-means,1,0.6629947253582045
5,hier,1,0.7143505394496253
6,hier,1,0.7143505394496253
7,hier,1,0.7143505394496253
8,hier,1,0.7143505394496253
9,hier,1,0.7143505394496253
10,k-means,2,0.34569712286205284
11,k-means,2,0.67831287671143
12,k-means,2,0.6335881916956275
13,k-means,2,0.5999539619864136
14,k-means,2,0.678595468996566
15,hier,2,0.38332999007933444
16,hier,2,0.38332999007933444
17,hier,2,0.38332999007933444
18,hier,2,0.38332999007933444
19,hier,2,0.38332999007933444
20,k-means,3,0.7688777070491053
21,k-means,3,0.785811796560828
22,k-means,3,0.5281522358311262
23,k-means,3,0.7302886358700557
24,k-means,3,0.701274133968689
25,hier,3,0.760741515434356
26,hier,3,0.760741515434356
27,hier,3,0.760741515434356
28,hier,3,0.760741515434356
29,hier,3,0.760741515434356
30,k-means,4,0.7976107245492672
31,k-means,4,0.8183042655039333
32,k-means,4,0.8207674118612173
33,k-means,4,0.42586534522523783
34,k-means,4,0.832969472476569
35,hier,4,0.8403983987291102
36,hier,4,0.8403983987291102
37,hier,4,0.8403983987291102
38,hier,4,0.8403983987291102
39,hier,4,0.8403983987291102
