,n_meta,dataset,kt
0,40,2,0.8894975147973175
1,40,2,-0.18658265862153176
2,40,2,0.8948287167945163
3,40,2,0.8854667442579646
4,40,2,0.8089781696462647
5,40,2,0.8434662441280621
6,40,2,0.8797910019591747
7,40,2,0.8751670912321775
8,40,2,0.8386153321001465
9,40,2,0.8462799112972367
10,40,2,0.8848800436625848
11,40,2,0.8457108768139664
12,40,2,0.8512712038299426
13,40,2,0.8901470919697516
14,40,2,0.8988668415489509
15,40,2,0.8686248031540431
16,40,2,0.8500472842306074
17,40,2,0.8941783319840431
18,40,2,0.888041566070529
19,40,2,0.8537084763719817
20,40,2,0.6738940227101607
21,40,2,0.8551472585096309
22,40,2,0.8898703351260561
23,40,2,0.8593421669321218
24,40,2,0.8461822869603866
25,40,2,0.8893252296261107
26,40,2,0.9017984231154027
27,40,2,0.8723013371253623
28,40,2,0.860923516180022
29,40,2,0.8984592664496619
30,40,2,0.8919322887238859
31,40,2,0.8736560752086501
32,40,2,0.8606789512762207
33,40,2,0.8919781690817752
34,40,2,0.8829499775534484
35,40,2,-0.027617648675191522
36,40,2,0.8891026893104643
37,40,2,0.8697381104461802
38,200,2,0.8673353210862257
39,200,2,0.8636087300406503
40,200,2,0.8878492326406965
41,200,2,0.836193670613155
42,200,2,0.8569075888161379
43,200,2,0.8706153703497845
44,200,2,0.9019052200577835
45,200,2,0.8584537719806191
46,200,2,0.850778747472121
47,200,2,0.8975881311772557
48,200,2,0.907016905153245
49,200,2,0.9058416789729393
50,200,2,0.8926843357726147
51,200,2,0.8681171419080422
52,200,2,0.8609503056223696
53,200,2,0.8868062067810112
54,200,2,0.8293161226652861
55,200,2,0.8782857974235405
56,200,2,0.8740855815892149
57,200,2,0.8479081076015472
58,200,2,0.8398157827752226
59,200,2,0.5939725345108412
60,200,2,0.7652868912960641
61,200,2,0.8511282038086682
62,200,2,0.874335225179879
63,200,2,0.8481109634950861
64,200,2,0.7413172910193645
65,200,2,0.8738683255140249
66,200,2,0.8904031720363433
67,200,2,0.8755500630100272
68,200,2,0.8540568736185261
69,200,2,0.8890041258496714
70,200,2,0.7628812009518832
71,200,2,0.6969753871991076
72,200,2,0.8324323134151016
73,200,2,0.8504569620637489
74,200,2,0.8928019840570508
75,200,2,0.8686002243238351
76,200,2,0.8452524915188547
77,200,2,0.8911590741983078
78,200,2,0.8482486055564072
79,200,2,0.8728976391899246
80,200,2,0.8984595537103844
81,200,2,0.8401553020162187
82,200,2,0.8676524314670209
83,200,2,0.8772834941334279
84,200,2,0.8749322400721976
85,200,2,0.8099236638519901
86,200,2,0.8828838369085917
87,200,2,0.7645742579144765
88,200,2,0.8453002366339533
89,200,2,0.6223904575010036
90,200,2,0.8116128285396415
91,200,2,0.8625915494751915
92,200,2,0.8765014140483979
93,200,2,0.793448020254385
94,200,2,0.8290934558699019
95,200,2,0.8405436235688265
96,200,2,0.8855099191057857
97,200,2,0.64171155688659
98,500,2,0.39583966461515224
99,500,2,0.7346185177647047
100,500,2,0.005299310804628647
101,500,2,0.5923589031083852
102,500,2,0.8247093966152996
103,500,2,0.8330759762110742
104,500,2,0.879592173010979
105,500,2,0.854628278094782
106,500,2,0.7544635663882721
107,500,2,0.7317444126209783
108,500,2,0.8699496321183533
109,500,2,0.8737744954318268
110,500,2,0.8611957588500873
111,500,2,0.30524598795068963
112,500,2,0.8226767626602727
113,500,2,0.8418602389704207
114,500,2,0.7988146669825135
115,500,2,0.8399039287775318
116,500,2,0.8451244386150945
117,500,2,0.045864023569518714
118,500,2,0.8819411821066383
119,500,2,0.8300950211509981
120,500,2,0.6431936272788965
121,500,2,0.8493675473611175
122,500,2,0.7261481177163442
123,500,2,0.6073035742609132
124,500,2,0.8320366782308162
125,500,2,0.22093996257752152
126,500,2,0.8397936590460645
127,500,2,0.8481415215946949
128,500,2,0.8677845101030812
129,500,2,0.8070344480272503
130,500,2,0.876329767638103
131,500,2,0.8801744029301964
132,500,2,0.8583645031404931
133,500,2,0.8237152272933607
134,500,2,0.813990178875901
135,500,2,0.7248385794819341
136,500,2,0.7529266808543211
137,500,2,0.8374316012695987
138,500,2,0.7583880507005912
139,500,2,0.7799130582143788
140,500,2,0.8475854968179738
141,500,2,0.8853622193032091
142,500,2,0.844155698781127
143,500,2,0.8641916744244709
144,500,2,0.8872912084663933
145,500,2,0.8615645997464948
146,500,2,0.7751993202632964
147,500,2,0.8037946180555748
148,500,2,0.7531659286351257
149,500,2,0.49515389381420494
150,500,2,0.7148786979038043
151,500,2,0.748512038151536
152,500,2,0.8582030515595367
153,500,2,0.5957162698609992
154,500,2,0.8075220558303009
155,500,2,0.7644739817039257
156,500,2,0.8308929625681609
157,500,2,0.34250900763030034
