,n_meta,dataset,kt
0,40,2,0.4005295213513216
1,40,2,0.7716340086238223
2,40,2,0.7027474578864834
3,40,2,0.6967741187205799
4,40,2,0.6927525686772499
5,40,2,0.7112674528796059
6,40,2,0.7784815204636619
7,40,2,0.7522847893291994
8,40,2,0.7679639718943602
9,40,2,0.5229243757313043
10,200,2,0.8144939935210461
11,200,2,0.8330441162443913
12,200,2,0.7862168966377022
13,200,2,0.5211476890551647
14,200,2,0.8001111045757977
15,200,2,0.5686578056757807
16,200,2,0.8263228634917603
17,200,2,0.7539417665698531
18,200,2,0.46213168140721794
19,200,2,0.44810640552543146
20,500,2,0.3172403284919089
21,500,2,0.6596320558629865
22,500,2,0.5478858155598558
23,500,2,0.452868284084847
24,500,2,0.5040286147000115
25,500,2,0.7503188245477501
26,500,2,0.6817714073690067
27,500,2,0.8340990042952446
28,500,2,0.6572127577464815
29,500,2,0.5675681385808484
