,scaling,dataset,kt
0,1,1,0.4093846735660717
1,1,1,0.36606273515939863
2,1,1,0.3938136735216759
3,1,1,0.44754362907478645
4,1,1,0.2612432662982618
5,1,1,0.2684127091729808
6,1,1,0.4711486843294036
7,1,1,0.31117115624487945
8,1,1,0.4198435997283198
9,1,1,0.5151336676686151
10,2,1,0.68152114955176
11,2,1,0.7076546450673975
12,2,1,0.5754221661821817
13,2,1,0.6637172329005647
14,2,1,0.5312754862222661
15,2,1,0.6831160577213096
16,2,1,0.6596101488214362
17,2,1,0.6906982110595987
18,2,1,0.6830058119944054
19,2,1,0.6369596255815447
20,3,1,0.711030168980743
21,3,1,0.6986010315425234
22,3,1,0.5673204789880122
23,3,1,0.6850170888464766
24,3,1,0.6974687309940152
25,3,1,0.6993056004163523
26,3,1,0.6853024049567116
27,3,1,0.6926956991731438
28,3,1,0.6989788874500188
29,3,1,0.6860097402509573
30,4,1,0.6821498192429835
31,4,1,0.6771041508464954
32,4,1,0.574496484005151
33,4,1,0.6919544775267709
34,4,1,0.6629947253582045
35,4,1,0.6925214645498651
36,4,1,0.7050546033130219
37,4,1,0.6839545774782265
38,4,1,0.6886717255446421
39,4,1,0.697467629876305
40,1,2,0.16467216852915462
41,1,2,0.26755838427756795
42,1,2,0.2654139966008807
43,1,2,0.36064119271299633
44,1,2,0.0855193548739653
45,1,2,0.12409337917145478
46,1,2,0.29303982394186723
47,1,2,0.24494801607681618
48,1,2,0.041261420587536485
49,1,2,0.1265412968047193
50,2,2,0.44037251117393383
51,2,2,0.47141978568806275
52,2,2,0.41362034815873416
53,2,2,0.5494248273718959
54,2,2,0.4536102797475354
55,2,2,0.4361099769955388
56,2,2,0.25724053670442326
57,2,2,0.46299561315819365
58,2,2,0.5817197997272339
59,2,2,0.34435704211508833
60,3,2,0.5063907523911695
61,3,2,0.4954210944866116
62,3,2,0.5765895575912396
63,3,2,0.6168716045534236
64,3,2,0.5905287556121656
65,3,2,0.38895074625203363
66,3,2,0.4752381551952139
67,3,2,0.5667461969553804
68,3,2,0.5290009358605499
69,3,2,0.5214119487128268
70,4,2,0.34569712286205284
71,4,2,0.67831287671143
72,4,2,0.6335881916956275
73,4,2,0.5999539619864136
74,4,2,0.678595468996566
75,4,2,0.5269501225953841
76,4,2,0.5348405395367704
77,4,2,0.5153511803476678
78,4,2,0.5310753820856621
79,4,2,0.3561548656893846
80,1,3,0.24796209777424205
81,1,3,0.11216263777842447
82,1,3,0.38669233136208947
83,1,3,0.48461627946003605
84,1,3,0.30511534453351796
85,1,3,0.1696488070793543
86,1,3,-0.016241174730722414
87,1,3,-0.03390395461841663
88,1,3,-0.013373028765977775
89,1,3,0.16506210118334014
90,2,3,0.771334872137057
91,2,3,0.772780663044591
92,2,3,0.47187102293006655
93,2,3,0.7105489953215555
94,2,3,0.5471151953658735
95,2,3,0.7933223245509461
96,2,3,0.6386711205143961
97,2,3,0.7908183765319545
98,2,3,0.756660210586645
99,2,3,0.7676774249453231
100,3,3,0.7732202131605351
101,3,3,0.785811796560828
102,3,3,0.5158569951827969
103,3,3,0.7297849287584369
104,3,3,0.7116168293776495
105,3,3,0.787241860134317
106,3,3,0.7165473708941343
107,3,3,0.7938521290631216
108,3,3,0.7407983707800566
109,3,3,0.7758591047060195
110,4,3,0.7688777070491053
111,4,3,0.785811796560828
112,4,3,0.5281522358311262
113,4,3,0.7302886358700557
114,4,3,0.701274133968689
115,4,3,0.7278097748629084
116,4,3,0.7243872792709461
117,4,3,0.7962726347938371
118,4,3,0.7384463977325895
119,4,3,0.7786473540898443
120,1,4,-0.11430403536531317
121,1,4,0.2745820544025075
122,1,4,0.1140056244032545
123,1,4,0.0691881529825624
124,1,4,0.2944014206381047
125,1,4,-0.05917519410563859
126,1,4,0.22696865849583667
127,1,4,0.3854725453378587
128,1,4,0.205573020718875
129,1,4,0.03811464092695017
130,2,4,0.2493896052071437
131,2,4,0.5091248438694711
132,2,4,0.36542716059161895
133,2,4,0.27871471272449977
134,2,4,0.3282338814890647
135,2,4,0.21333609135911646
136,2,4,0.17910777334076286
137,2,4,0.5615867612827946
138,2,4,0.3724008022119752
139,2,4,0.31129925055103214
140,3,4,0.7994666036813077
141,3,4,0.8180412698491935
142,3,4,0.8097336463831892
143,3,4,0.41745983830328
144,3,4,0.8338502421998799
145,3,4,0.43025089345924905
146,3,4,0.24869283415159868
147,3,4,0.45493933267734976
148,3,4,0.8242272626754334
149,3,4,0.3735887035527532
150,4,4,0.7976107245492672
151,4,4,0.8183042655039333
152,4,4,0.8207674118612173
153,4,4,0.42586534522523783
154,4,4,0.832969472476569
155,4,4,0.37883790289632163
156,4,4,0.24922368514091778
157,4,4,0.15672514555594957
158,4,4,0.8271627168272562
159,4,4,0.37189015832463124
